itemName,"COG Reference","COG","SID","SOG"
"1441756356.67","True","34.4","63","0.0"
"1441756363.15","True","22.0","64","0.0"
"1441756365.51","True","22.3","65","0.0"
"1441756366.74","True","50.7","66","0.05"
"1441756368.19","True","53.3","67","0.05"
"1441756369.21","True","57.1","68","0.05"
"1441756370.42","True","47.9","69","0.0"
"1441756372.54","True","30.1","70","0.0"
"1441756375.13","True","66.5","71","0.0"
"1441756376.55","True","56.2","72","0.05"
"1441756377.58","True","62.5","73","0.05"
"1441756380.19","True","38.6","74","0.0"
"1441756381.42","True","13.5","75","0.0"
"1441756382.45","True","37.5","76","0.0"
"1441756383.6","True","73.4","77","0.05"
"1441756384.55","True","70.1","78","0.05"
"1441756386.21","True","84.8","79","0.0"
"1441756388.08","True","79.2","80","0.05"
"1441756389.27","True","86.6","81","0.05"
"1441756390.67","True","83.9","82","0.05"
"1441756391.37","True","102.0","83","0.05"
"1441756392.77","True","118.8","84","0.05"
"1441756393.87","True","122.2","85","0.0"
"1441756395.42","True","97.9","86","0.05"
"1441756396.61","True","82.6","87","0.05"
"1441756397.51","True","73.3","88","0.05"
"1441756399.84","True","66.0","89","0.05"
"1441756400.94","True","69.7","90","0.05"
"1441756401.87","True","55.4","91","0.05"
"1441756403.39","True","51.6","92","0.05"
"1441756404.33","True","45.9","93","0.05"
"1441756405.91","True","40.5","94","0.05"
