itemName,"Heading","Variation","Deviation","SID","Reference"
"1441756357.76","80.3","-14.8","0.0","27","Magnetic"
"1441756358.85","80.3","-14.8","0.0","28","Magnetic"
"1441756361.88","80.3","-14.8","0.0","29","Magnetic"
"1441756364.53","80.3","-14.8","0.0","30","Magnetic"
"1441756365.11","80.3","-14.8","0.0","31","Magnetic"
"1441756366.06","80.3","-14.8","0.0","32","Magnetic"
"1441756366.59","80.3","-14.8","0.0","33","Magnetic"
"1441756367.11","80.3","-14.8","0.0","34","Magnetic"
"1441756367.84","80.3","-14.8","0.0","35","Magnetic"
"1441756368.73","80.3","-14.8","0.0","36","Magnetic"
"1441756369.37","80.3","-14.8","0.0","37","Magnetic"
"1441756369.74","80.3","-14.8","0.0","38","Magnetic"
"1441756370.26","80.3","-14.8","0.0","39","Magnetic"
"1441756371.49","80.3","-14.8","0.0","40","Magnetic"
"1441756372.38","80.3","-14.8","0.0","41","Magnetic"
"1441756373.03","80.3","-14.8","0.0","42","Magnetic"
"1441756374.98","80.3","-14.8","0.0","43","Magnetic"
"1441756375.49","80.4","-14.8","0.0","44","Magnetic"
"1441756376.24","80.4","-14.8","0.0","45","Magnetic"
"1441756377.07","80.4","-14.8","0.0","46","Magnetic"
"1441756378.13","80.4","-14.8","0.0","47","Magnetic"
"1441756378.31","80.4","-14.8","0.0","48","Magnetic"
"1441756379.8","80.4","-14.8","0.0","49","Magnetic"
"1441756380.75","80.4","-14.8","0.0","50","Magnetic"
"1441756381.27","80.4","-14.8","0.0","51","Magnetic"
"1441756381.91","80.4","-14.8","0.0","52","Magnetic"
"1441756382.32","80.4","-14.8","0.0","53","Magnetic"
"1441756382.59","80.4","-14.8","0.0","54","Magnetic"
"1441756383.47","80.4","-14.8","0.0","55","Magnetic"
"1441756383.92","80.4","-14.8","0.0","56","Magnetic"
"1441756385.03","80.4","-14.8","0.0","57","Magnetic"
"1441756385.2","80.4","-14.8","0.0","58","Magnetic"
"1441756386.04","80.4","-14.8","0.0","59","Magnetic"
"1441756386.68","80.4","-14.8","0.0","60","Magnetic"
"1441756387.82","80.4","-14.8","0.0","61","Magnetic"
"1441756388.6","80.4","-14.8","0.0","62","Magnetic"
"1441756389.12","80.4","-14.8","0.0","63","Magnetic"
"1441756389.62","80.4","-14.8","0.0","64","Magnetic"
"1441756390.31","80.4","-14.8","0.0","65","Magnetic"
"1441756390.87","80.4","-14.8","0.0","66","Magnetic"
"1441756391.74","80.4","-14.8","0.0","67","Magnetic"
"1441756391.9","80.4","-14.8","0.0","68","Magnetic"
"1441756392.42","80.4","-14.8","0.0","69","Magnetic"
"1441756393.01","80.4","-14.8","0.0","70","Magnetic"
"1441756393.52","80.4","-14.8","0.0","71","Magnetic"
"1441756394.37","80.4","-14.8","0.0","72","Magnetic"
"1441756395.1","80.4","-14.8","0.0","73","Magnetic"
"1441756395.64","80.4","-14.8","0.0","74","Magnetic"
"1441756396.46","80.4","-14.8","0.0","75","Magnetic"
"1441756397.0","80.4","-14.8","0.0","76","Magnetic"
"1441756397.67","80.4","-14.8","0.0","77","Magnetic"
"1441756398.04","80.4","-14.8","0.0","78","Magnetic"
"1441756399.68","80.4","-14.8","0.0","79","Magnetic"
"1441756400.3","80.4","-14.8","0.0","80","Magnetic"
"1441756400.79","80.4","-14.8","0.0","81","Magnetic"
"1441756401.32","80.4","-14.8","0.0","82","Magnetic"
"1441756401.7","80.4","-14.8","0.0","83","Magnetic"
"1441756402.23","80.3","-14.8","0.0","84","Magnetic"
"1441756403.25","80.3","-14.8","0.0","85","Magnetic"
"1441756403.83","80.3","-14.8","0.0","86","Magnetic"
"1441756404.5","80.3","-14.8","0.0","87","Magnetic"
"1441756405.01","80.3","-14.8","0.0","88","Magnetic"
"1441756405.64","80.3","-14.8","0.0","89","Magnetic"
